year,month,decimalDate,average,interpolated,trend,numdays
1985,1,1985.042,345.21,345.21,345.31,23
1985,2,1985.125,346.16,346.16,345.61,17
1985,3,1985.208,347.74,347.74,346.37,16
1985,4,1985.292,348.34,348.34,345.79,19
1985,5,1985.375,349.06,349.06,345.91,24
1985,6,1985.458,348.38,348.38,345.94,23
1985,7,1985.542,346.71,346.71,345.89,18
1985,8,1985.625,345.02,345.02,346.34,18
1985,9,1985.708,343.27,343.27,346.4,25
1985,10,1985.792,343.13,343.13,346.42,20
1985,11,1985.875,344.49,344.49,346.61,22
1985,12,1985.958,345.88,345.88,346.81,25
1986,1,1986.042,346.56,346.56,346.59,23
1986,2,1986.125,347.28,347.28,346.74,25
1986,3,1986.208,348.01,348.01,346.68,17
1986,4,1986.292,349.77,349.77,347.22,22
1986,5,1986.375,350.38,350.38,347.26,18
1986,6,1986.458,349.93,349.93,347.52,17
1986,7,1986.542,348.16,348.16,347.33,20
1986,8,1986.625,346.08,346.08,347.41,18
1986,9,1986.708,345.22,345.22,348.35,17
1986,10,1986.792,344.51,344.51,347.77,26
1986,11,1986.875,345.93,345.93,348.04,23
1986,12,1986.958,347.22,347.22,348.13,24
1987,1,1987.042,348.52,348.52,348.47,26
1987,2,1987.125,348.73,348.73,348.02,25
1987,3,1987.208,349.73,349.73,348.3,22
1987,4,1987.292,351.31,351.31,348.77,26
1987,5,1987.375,352.09,352.09,349.01,27
1987,6,1987.458,351.53,351.53,349.2,21
1987,7,1987.542,350.11,350.11,349.39,16
1987,8,1987.625,348.08,348.08,349.5,14
1987,9,1987.708,346.52,346.52,349.7,23
1987,10,1987.792,346.59,346.59,349.86,22
1987,11,1987.875,347.96,347.96,350.07,22
1987,12,1987.958,349.16,349.16,350.05,27
1988,1,1988.042,350.39,350.39,350.38,24
1988,2,1988.125,351.64,351.64,350.94,24
1988,3,1988.208,352.41,352.41,350.87,25
1988,4,1988.292,353.69,353.69,351.01,27
1988,5,1988.375,354.21,354.21,351.06,28
1988,6,1988.458,353.72,353.72,351.37,26
1988,7,1988.542,352.69,352.69,352.02,27
1988,8,1988.625,350.4,350.4,351.9,26
1988,9,1988.708,348.92,348.92,352.13,27
1988,10,1988.792,349.13,349.13,352.41,26
1988,11,1988.875,350.2,350.2,352.34,25
1988,12,1988.958,351.41,351.41,352.35,28
1989,1,1989.042,352.91,352.91,352.85,27
1989,2,1989.125,353.27,353.27,352.54,25
1989,3,1989.208,353.96,353.96,352.47,29
1989,4,1989.292,355.64,355.64,352.97,28
1989,5,1989.375,355.86,355.86,352.67,28
1989,6,1989.458,355.37,355.37,352.97,26
